LOC_keywords,文本 2,分类,分类 2,pollution,文本 4,area,文本 5
the Yakima Basin,642,北美,无匹配类别,无匹配标签,无匹配标签,North America,
the Yakima River,643,北美,无匹配类别,无匹配标签,无匹配标签,North America,
The Yakima Basin,644,北美,无匹配类别,无匹配标签,无匹配标签,North America,
the Yakima Basin Integrated Plan,645,北美,无匹配类别,无匹配标签,无匹配标签,North America,
The Yakima River,646,北美,无匹配类别,无匹配标签,无匹配标签,North America,
the Kittitas Reclamation District,647,无匹配类别,无匹配类别,无匹配标签,无匹配标签,North America,
Diablo Canyon,649,无匹配类别,无匹配类别,无匹配标签,无匹配标签,North America,
the Houston Ship Channel,654,北美,无匹配类别,无匹配标签,America,North America,
the Appalachian Mountains,657,北美,无匹配类别,无匹配标签,无匹配标签,North America,
Great Basin,660,北美,无匹配类别,无匹配标签,无匹配标签,North America,
the Cook Inlet,661,大洋洲,无匹配类别,无匹配标签,America,North America,
Yosemite National Park,662,北美,无匹配类别,无匹配标签,America,North America,
Cook Inlet,663,北美,无匹配类别,无匹配标签,无匹配标签,North America,
Northeast Entrance Road,665,无匹配类别,无匹配类别,无匹配标签,无匹配标签,North America,
Northern Plains,666,无匹配类别,无匹配类别,无匹配标签,无匹配标签,North America,
Lake Charles,667,北美,无匹配类别,无匹配标签,无匹配标签,North America,
the Rocky Mountains,668,北美,无匹配类别,无匹配标签,America,North America,
Colorado River Reservoirs Run Critically,669,北美,无匹配类别,无匹配标签,无匹配标签,North America,
the Grand Canyon,670,北美,无匹配类别,无匹配标签,America,North America,
River Park,671,无匹配类别,无匹配类别,无匹配标签,无匹配标签,North America,
Mount Tom,673,无匹配类别,无匹配类别,无匹配标签,无匹配标签,North America,
Mount Tom Station,674,无匹配类别,无匹配类别,无匹配标签,无匹配标签,North America,
Teshekpuk Lake,675,北美,无匹配类别,无匹配标签,无匹配标签,North America,
eastern North America,681,北美,无匹配类别,无匹配标签,America,North America,
the Indian River Lagoon,684,无匹配类别,发展中国家,无匹配标签,India,North America,
Aliso Canyon,687,无匹配类别,无匹配类别,无匹配标签,无匹配标签,North America,
Mile Island,688,无匹配类别,无匹配类别,无匹配标签,无匹配标签,North America,
the Hudson Canyon,689,北美,无匹配类别,无匹配标签,America,North America,
The Hudson Canyon,690,北美,无匹配类别,无匹配标签,America,North America,
Hudson Canyon,691,北美,无匹配类别,无匹配标签,无匹配标签,North America,
Bear River,692,无匹配类别,无匹配类别,无匹配标签,无匹配标签,North America,
the Owens River,693,无匹配类别,无匹配类别,无匹配标签,无匹配标签,North America,
Owens Lake,694,无匹配类别,无匹配类别,无匹配标签,无匹配标签,North America,
the Santa Monica Mountains,696,北美,无匹配类别,无匹配标签,无匹配标签,North America,
the Metropolitan Water District of Southern California,697,北美,发展中国家,无匹配标签,America,North America,
Cold Bay,698,北美洲,无匹配类别,无匹配标签,无匹配标签,North America,
East Harlem,702,北美,无匹配类别,无匹配标签,America,North America,
Prospect Park,703,无匹配类别,无匹配类别,无匹配标签,无匹配标签,North America,
the Kennebec River,707,北美,发展中国家,无匹配标签,无匹配标签,North America,
the Calf Canyon,708,无匹配类别,无匹配类别,无匹配标签,无匹配标签,North America,
Hermits Peak,709,无匹配类别,无匹配类别,无匹配标签,无匹配标签,North America,
Southern Nevada,711,北美,发展中国家,无匹配标签,America,North America,
Echo Bay,713,无匹配类别,无匹配类别,无匹配标签,无匹配标签,North America,
Pacific Northwest,714,太平洋,无匹配类别,无匹配标签,无匹配标签,North America,
the Homosassa River,715,无匹配类别,无匹配类别,无匹配标签,无匹配标签,North America,
Owens Valley,716,北美,无匹配类别,无匹配标签,无匹配标签,North America,
the Sacramento Valley,718,北美,无匹配类别,无匹配标签,无匹配标签,North America,
Grant Town,729,无匹配类别,无匹配类别,无匹配标签,无匹配标签,North America,
Gulf of Mexico,734,北美,无匹配类别,无匹配标签,America,North America,
the Southern Plains,736,北美,无匹配类别,无匹配标签,无匹配标签,North America,
the Red River,737,东南亚,无匹配类别,无匹配标签,无匹配标签,North America,
the Ohio Valley,749,北美,无匹配类别,无匹配标签,无匹配标签,North America,
Northern Rocky Mountains,753,北美,无匹配类别,无匹配标签,无匹配标签,North America,
Cajun Coast,756,北美,无匹配类别,无匹配标签,无匹配标签,North America,
the Mid-Atlantic States,762,无匹配类别,无匹配类别,无匹配标签,无匹配标签,North America,
Copper Mountain,763,无匹配类别,无匹配类别,无匹配标签,无匹配标签,North America,
Mid-Atlantic States,764,无匹配类别,无匹配类别,无匹配标签,无匹配标签,North America,
Eastern Kentucky,765,北美,无匹配类别,无匹配标签,America,North America,
the Klamath Basin,766,北美,无匹配类别,无匹配标签,无匹配标签,North America,
the Cheat River,770,无匹配类别,无匹配类别,无匹配标签,无匹配标签,North America,
Granite Bay,771,无匹配类别,无匹配类别,无匹配标签,无匹配标签,North America,
the North Shore of Long Island,773,北美,无匹配类别,无匹配标签,America,North America,
Lower Manhattan,774,北美,无匹配类别,无匹配标签,America,North America,
Wading River,777,无匹配类别,无匹配类别,无匹配标签,无匹配标签,North America,
Long Island’s North Shore,778,北美,无匹配类别,无匹配标签,America,North America,
Deep South,780,无匹配类别,无匹配类别,无匹配标签,无匹配标签,North America,
Dauphin Island,781,北美,无匹配类别,无匹配标签,无匹配标签,North America,
Potomac River,782,北美,无匹配类别,无匹配标签,America,North America,
the Gulf of California on Oct,785,北美,无匹配类别,无匹配标签,无匹配标签,North America,
North Pennsylvania Avenue,787,北美,无匹配类别,无匹配标签,America,North America,
the Eastern Gulf,788,中东,无匹配类别,无匹配标签,无匹配标签,North America,
Eastern Gulf,789,中东,无匹配类别,无匹配标签,无匹配标签,North America,
the Laguna Pueblo,790,北美,发展中国家,无匹配标签,无匹配标签,North America,
Farms Lake,801,无匹配类别,无匹配类别,无匹配标签,无匹配标签,North America,
Northeast Arizona,802,北美,无匹配类别,无匹配标签,America,North America,
the Northern Plains,803,无匹配类别,无匹配类别,无匹配标签,无匹配标签,North America,
Central and Southern California,804,北美,发展中国家,无匹配标签,America,North America,
the Cape Fear River,808,北美,无匹配类别,无匹配标签,无匹配标签,North America,
Central and Northern California,809,北美,发展中国家,无匹配标签,America,North America,
West Virginia,817,北美,无匹配类别,无匹配标签,America,North America,
Central Minnesota,819,北美,无匹配类别,无匹配标签,America,North America,
Eastern Colorado,820,北美,发展中国家,无匹配标签,America,North America,
Northern New England,821,北美,无匹配类别,无匹配标签,America,North America,
Lake Tahoe,822,北美,无匹配类别,无匹配标签,无匹配标签,North America,
the Erie Canal,823,北美,无匹配类别,无匹配标签,America,North America,
South Lake Tahoe,826,北美,无匹配类别,无匹配标签,America,North America,
the Neuse River,827,北美,无匹配类别,无匹配标签,无匹配标签,North America,
the Lumber River,829,无匹配类别,无匹配类别,无匹配标签,无匹配标签,North America,
Fair Bluff,830,无匹配类别,无匹配类别,无匹配标签,无匹配标签,North America,
Tar River,831,北美,无匹配类别,无匹配标签,无匹配标签,North America,
Plaquemine,832,北美,无匹配类别,无匹配标签,无匹配标签,North America,
Lake Oroville,837,北美,无匹配类别,无匹配标签,无匹配标签,North America,
Carmel Valley,838,无匹配类别,无匹配类别,无匹配标签,无匹配标签,North America,
Spring Mountain,844,无匹配类别,无匹配类别,无匹配标签,无匹配标签,North America,
the Northwestern United States,845,北美,发达国家,Top CO2 Emitters,美国,North America,
Hensley Lake,846,北美,无匹配类别,无匹配标签,无匹配标签,North America,
Des Plaines River,848,北美,无匹配类别,无匹配标签,无匹配标签,North America,
West Vancouver,849,北美,发达国家,无匹配标签,Canada,North America,
the Snake River,850,北美,无匹配类别,无匹配标签,无匹配标签,North America,
the Klamath River,851,北美,无匹配类别,无匹配标签,无匹配标签,North America,
Northern Canada,852,北美,发达国家,Most Vulnerable to Climate Change,Canada,North America,
Sacramento River,857,北美,无匹配类别,无匹配标签,无匹配标签,North America,
Ozarks,858,无匹配类别,无匹配类别,无匹配标签,无匹配标签,North America,
the South Fork,859,无匹配类别,无匹配类别,无匹配标签,无匹配标签,North America,
Northern Water,860,无匹配类别,无匹配类别,无匹配标签,无匹配标签,North America,
Grand Lake,861,北美,无匹配类别,无匹配标签,无匹配标签,North America,
Poudre River,862,北美,无匹配类别,无匹配标签,无匹配标签,North America,
the Tehachapi Mountains,864,北美,无匹配类别,无匹配标签,无匹配标签,North America,
Southeastern Alaska,865,北美,无匹配类别,无匹配标签,America,North America,
the Upper East Side,866,无匹配类别,无匹配类别,无匹配标签,America,North America,
Pueblo de Palmas,867,无匹配类别,无匹配类别,无匹配标签,无匹配标签,North America,
Southwest Louisiana,868,北美,无匹配类别,无匹配标签,无匹配标签,North America,
Northern Minnesota,869,北美,无匹配类别,无匹配标签,America,North America,
the Mississippi River’s,870,北美,无匹配类别,无匹配标签,无匹配标签,North America,
the Intermountain West,871,北美,无匹配类别,无匹配标签,无匹配标签,North America,
Central Valley Project,872,无匹配类别,无匹配类别,无匹配标签,无匹配标签,North America,
the Coastal Plain,873,无匹配类别,无匹配类别,无匹配标签,无匹配标签,North America,
Prudhoe Bay,875,北美,无匹配类别,无匹配标签,无匹配标签,North America,
Morro Bay,880,北美,无匹配类别,无匹配标签,无匹配标签,North America,
the Morro Bay,881,北美,无匹配类别,无匹配标签,无匹配标签,North America,
Pacific Palisades,882,太平洋,无匹配类别,无匹配标签,无匹配标签,North America,
the Great Basin,884,北美,无匹配类别,无匹配标签,无匹配标签,North America,
Northwest Territories,886,北美,无匹配类别,无匹配标签,无匹配标签,North America,
the East Coast’s,887,无匹配类别,无匹配类别,无匹配标签,无匹配标签,North America,
Glacier National Park,888,北美,无匹配类别,无匹配标签,America,North America,
the Atlantic Coast,889,大西洋,无匹配类别,无匹配标签,无匹配标签,North America,
Atlantic Coast,890,大西洋,无匹配类别,无匹配标签,无匹配标签,North America,
the Lehigh Valley,891,北美,无匹配类别,无匹配标签,无匹配标签,North America,
Inland Empire,892,无匹配类别,无匹配类别,无匹配标签,无匹配标签,North America,
Mount St,897,无匹配类别,无匹配类别,无匹配标签,无匹配标签,North America,
the Atlantic Coastal Plain,898,大西洋,无匹配类别,无匹配标签,无匹配标签,North America,
the Pacific coast,902,太平洋,无匹配类别,无匹配标签,无匹配标签,North America,
Hatteras Island,904,北美,无匹配类别,无匹配标签,无匹配标签,North America,
Barataria Bay,907,北美,无匹配类别,无匹配标签,无匹配标签,North America,
the Mississippi Delta,908,北美,无匹配类别,无匹配标签,America,North America,
the Barataria Basin,909,无匹配类别,无匹配类别,无匹配标签,无匹配标签,North America,
the Red Desert,910,大洋洲,无匹配类别,无匹配标签,无匹配标签,North America,
Catalyst Miami,912,无匹配类别,无匹配类别,无匹配标签,无匹配标签,North America,
DC Water,913,无匹配类别,无匹配类别,无匹配标签,无匹配标签,North America,
Central Michigan,914,北美,无匹配类别,无匹配标签,无匹配标签,North America,
Escambia Bay,915,无匹配类别,无匹配类别,无匹配标签,无匹配标签,North America,
Boothbay Harbor,916,无匹配类别,无匹配类别,无匹配标签,无匹配标签,North America,
West Side,918,无匹配类别,无匹配类别,无匹配标签,无匹配标签,North America,
the West Side,919,无匹配类别,无匹配类别,无匹配标签,无匹配标签,North America,
the Atlantic Coast Pipeline,923,大西洋,无匹配类别,无匹配标签,无匹配标签,North America,
Snake River,924,北美,无匹配类别,无匹配标签,无匹配标签,North America,
Big Basin,925,无匹配类别,无匹配类别,无匹配标签,无匹配标签,North America,
Taos Pueblo,926,北美,发展中国家,无匹配标签,无匹配标签,North America,
the Taos Pueblo,929,北美,无匹配类别,无匹配标签,无匹配标签,North America,
Bay Area,930,北美,无匹配类别,无匹配标签,America,North America,
Middle America,932,中美洲,发展中国家,无匹配标签,无匹配标签,North America,
the Kalamazoo River,935,北美,无匹配类别,无匹配标签,无匹配标签,North America,
Coastal Plain,936,无匹配类别,无匹配类别,无匹配标签,无匹配标签,North America,
the North Saskatchewan River,940,北美,无匹配类别,无匹配标签,无匹配标签,North America,
the North American Coal Corporation,941,北美,无匹配类别,无匹配标签,,North America,
Yucatán Peninsula,942,北美,发展中国家,无匹配标签,,North America,
Forest Lake,944,无匹配类别,无匹配类别,无匹配标签,,North America,
Western Pennsylvania,945,北美,无匹配类别,无匹配标签,,North America,
the Penobscot River,946,北美,无匹配类别,无匹配标签,,North America,
Sunny Isles Beach,947,北美,无匹配类别,无匹配标签,,North America,
Red Earth Creek,949,无匹配类别,无匹配类别,无匹配标签,,North America,
the Northern Rockies,950,北美,无匹配类别,无匹配标签,,North America,
Petersham,951,无匹配类别,无匹配类别,无匹配标签,,North America,
Elyria,953,无匹配类别,无匹配类别,无匹配标签,,North America,
the Dauphin Island Sea Lab,956,北美,无匹配类别,无匹配标签,,North America,
Central Coast,957,无匹配类别,无匹配类别,无匹配标签,,North America,
Cascades,959,无匹配类别,无匹配类别,无匹配标签,,North America,
the McKenzie River,960,北美,无匹配类别,无匹配标签,,North America,
c,961,无匹配类别,无匹配类别,无匹配标签,无匹配标签,North America,
Western Oregon,962,北美,无匹配类别,无匹配标签,,North America,
the Central United States,965,北美,发达国家,Top CO2 Emitters,,North America,
Pine Island,966,无匹配类别,无匹配类别,无匹配标签,,North America,
McKenzie Valley,968,北美,无匹配类别,无匹配标签,,North America,
the Sabine River,970,北美,无匹配类别,无匹配标签,,North America,
Mount Rainier,972,北美洲,无匹配类别,无匹配标签,,North America,
Northern Mexico,974,北美,发展中国家,无匹配标签,,North America,
the Central Plains,975,东亚,无匹配类别,无匹配标签,,North America,
the San Bernardino Mountains,976,北美,无匹配类别,无匹配标签,,North America,
Chinitna Bay,979,无匹配类别,无匹配类别,无匹配标签,,North America,
Kashmere Gardens,980,南亚,无匹配类别,无匹配标签,,North America,
Lake Houston,981,北美,无匹配类别,无匹配标签,,North America,
Western Texas,984,北美,无匹配类别,无匹配标签,,North America,
Hudson River,985,北美,无匹配类别,无匹配标签,,North America,
New England’s,987,北美,无匹配类别,无匹配标签,,North America,
the Bay of Fundy,988,北美,无匹配类别,无匹配标签,,North America,
Rocky Mountain,989,北美,无匹配类别,无匹配标签,,North America,
Northern Arizona,990,北美,无匹配类别,无匹配标签,,North America,
Southern Colorado,991,北美,无匹配类别,无匹配标签,,North America,
the East Side,1000,无匹配类别,无匹配类别,无匹配标签,,North America,
Northern Virginia,1001,北美,无匹配类别,无匹配标签,,North America,
the Edenville Dam,1002,无匹配类别,无匹配类别,无匹配标签,,North America,
Lake Huron,1004,北美,无匹配类别,无匹配标签,,North America,
Lituya Bay,1005,北美,无匹配类别,无匹配标签,,North America,
Gowanus,1006,无匹配类别,无匹配类别,无匹配标签,,North America,
SoHo,1007,无匹配类别,无匹配类别,无匹配标签,,North America,
the east coast,1008,无匹配类别,无匹配类别,无匹配标签,,North America,
Dupont Circle,1010,北美,无匹配类别,无匹配标签,,North America,
East Grand Terre Island,1011,大洋洲,无匹配类别,无匹配标签,,North America,
Western North America,1012,北美,无匹配类别,无匹配标签,,North America,
Missouri River,1014,北美,无匹配类别,无匹配标签,,North America,
Mississippi Valley,1017,北美,无匹配类别,无匹配标签,,North America,
Southern Texas,1018,北美,无匹配类别,无匹配标签,,North America,
the Mississippi River Cities,1019,北美,无匹配类别,无匹配标签,,North America,
Shinnecock Bay,1021,北美,无匹配类别,无匹配标签,,North America,
the Central Valley’s,1022,无匹配类别,无匹配类别,无匹配标签,,North America,
the Klamath River Basin,1023,北美,无匹配类别,无匹配标签,,North America,
Glacier Bay,1025,北美,无匹配类别,无匹配标签,,North America,
the Anacostia River,1031,北美,无匹配类别,无匹配标签,,North America,
the Potomac River,1032,北美,无匹配类别,无匹配标签,,North America,
South Louisiana,1034,北美,发展中国家,无匹配标签,,North America,
Fox Island,1035,无匹配类别,无匹配类别,无匹配标签,,North America,
Byram Lake,1036,无匹配类别,无匹配类别,无匹配标签,,North America,
Beltway,1037,无匹配类别,无匹配类别,无匹配标签,,North America,
Wellfleet Bay,1038,北美,无匹配类别,无匹配标签,,North America,
the Atlantic Seaboard,1039,大西洋,无匹配类别,无匹配标签,,North America,
Red River,1040,东南亚,无匹配类别,无匹配标签,,North America,
Eastern Illinois,1045,北美,无匹配类别,无匹配标签,,North America,
Guarding Ocean City,1046,无匹配类别,无匹配类别,无匹配标签,,North America,
West Neck Creek,1047,无匹配类别,无匹配类别,无匹配标签,,North America,
the Dog River,1048,无匹配类别,无匹配类别,无匹配标签,,North America,
Back Bay,1049,无匹配类别,无匹配类别,无匹配标签,,North America,
the Westlands Water District,1050,无匹配类别,无匹配类别,无匹配标签,,North America,
Southern New Jersey,1051,北美,无匹配类别,无匹配标签,,North America,
the Dan River,1054,无匹配类别,无匹配类别,无匹配标签,,North America,
Coastal California,1055,北美,发达国家,无匹配标签,,North America,
Brawley Mountain,1056,无匹配类别,无匹配类别,无匹配标签,,North America,
Chattooga River,1057,北美,无匹配类别,无匹配标签,,North America,
Western States,1060,北美,无匹配类别,无匹配标签,,North America,
Green Bay,1063,北美,无匹配类别,无匹配标签,,North America,
Governors Island,1064,北美,无匹配类别,无匹配标签,,North America,
Shasta Dam,1066,北美,无匹配类别,无匹配标签,,North America,
the West Coast’s,1067,无匹配类别,无匹配类别,无匹配标签,,North America,
Mount Shasta,1068,北美,无匹配类别,无匹配标签,,North America,
the McCloud River,1069,北美洲,无匹配类别,无匹配标签,,North America,
Lake Shasta,1070,北美洲,无匹配类别,无匹配标签,,North America,
Shasta Lake,1071,北美洲,无匹配类别,无匹配标签,,North America,
Pacific Coast,1072,太平洋,无匹配类别,无匹配标签,,North America,
the San Francisco Bay,1073,北美,无匹配类别,无匹配标签,,North America,
the West Village,1074,无匹配类别,无匹配类别,无匹配标签,,North America,
Sun Valley,1075,无匹配类别,无匹配类别,无匹配标签,,North America,
the East River,1076,无匹配类别,无匹配类别,无匹配标签,,North America,
Arctic Alaska,1082,北美,无匹配类别,无匹配标签,,North America,
Ocracoke Island,1083,北美,无匹配类别,无匹配标签,,North America,
High River,1084,无匹配类别,无匹配类别,无匹配标签,,North America,
the Eastern Seaboard,1085,北美,无匹配类别,无匹配标签,,North America,
Oxfam America,1088,无匹配类别,无匹配类别,无匹配标签,,North America,
West End,1089,无匹配类别,无匹配类别,无匹配标签,,North America,
the Left Coast,1090,无匹配类别,无匹配类别,无匹配标签,,North America,
the McNeil River,1091,北美,无匹配类别,无匹配标签,,North America,
McNeil River,1092,北美,无匹配类别,无匹配标签,,North America,
Middle Fork,1093,无匹配类别,无匹配类别,无匹配标签,,North America,
North Texas,1095,北美,无匹配类别,无匹配标签,,North America,
Iowa River,1108,北美,无匹配类别,无匹配标签,,North America,
the Coralville Dam,1109,无匹配类别,无匹配类别,无匹配标签,,North America,
Cedar River,1110,无匹配类别,无匹配类别,无匹配标签,,North America,
The East Coast,1112,北美,无匹配类别,无匹配标签,,North America,
Block Island,1113,北美,无匹配类别,无匹配标签,,North America,
Eastern Ontario,1118,北美,发展中国家,无匹配标签,,North America,
Southern New England,1120,北美,无匹配类别,无匹配标签,,North America,
West Virigina,1122,北美,无匹配类别,无匹配标签,,North America,
the Lydonia Canyon,1123,无匹配类别,无匹配类别,无匹配标签,,North America,
the Lower East Side Ecology Center,1124,无匹配类别,无匹配类别,无匹配标签,,North America,
the Upper Mississippi,1126,北美,无匹配类别,无匹配标签,,North America,
Missouri River Basin Forecast Center,1127,北美,无匹配类别,无匹配标签,,North America,
Cumberland River,1128,无匹配类别,无匹配类别,无匹配标签,,North America,
Tennessee River,1129,北美,无匹配类别,无匹配标签,,North America,
the Niobrara River,1130,北美,无匹配类别,无匹配标签,,North America,
the Gavins Point Dam,1131,无匹配类别,无匹配类别,无匹配标签,,North America,
Missouri River Basin Water Management Division,1132,北美,无匹配类别,无匹配标签,,North America,
the Missouri Basin,1133,北美,无匹配类别,无匹配标签,,North America,
Missouri River Basin,1134,北美,无匹配类别,无匹配标签,,North America,
The Missouri Basin,1135,北美,无匹配类别,无匹配标签,,North America,
The Salton Sea,1137,无匹配类别,无匹配类别,无匹配标签,,North America,
the Imperial District,1138,无匹配类别,无匹配类别,无匹配标签,,North America,
Columbus Circle,1139,北美,无匹配类别,无匹配标签,,North America,
the Death Valley,1142,北美,无匹配类别,无匹配标签,,North America,
San Francisco Bay Delta,1143,北美,无匹配类别,无匹配标签,,North America,
the San Francisco Bay Delta,1144,北美,无匹配类别,无匹配标签,,North America,
the Greensboro Four,1148,无匹配类别,无匹配类别,无匹配标签,,North America,
the Environment America,1156,北美,无匹配类别,无匹配标签,,North America,
Hurricanes Irma,1157,大西洋,无匹配类别,无匹配标签,,North America,
Powder River,1161,无匹配类别,无匹配类别,无匹配标签,,North America,
Northern California’s,1162,北美,无匹配类别,无匹配标签,,North America,
Belews Creek,1169,无匹配类别,无匹配类别,无匹配标签,,North America,
Saginaw River,1171,北美,无匹配类别,无匹配标签,,North America,
Saginaw Bay,1172,北美,无匹配类别,无匹配标签,,North America,
Southwest Florida,1175,北美,无匹配类别,无匹配标签,,North America,
Feather River,1181,无匹配类别,无匹配类别,无匹配标签,,North America,
the northern valley,1182,无匹配类别,无匹配类别,无匹配标签,,North America,
the Tuolumne River,1183,无匹配类别,无匹配类别,无匹配标签,,North America,
west coast,1185,无匹配类别,无匹配类别,无匹配标签,,North America,
West Ocean City,1186,无匹配类别,无匹配类别,无匹配标签,,North America,
the North American Free Trade Agreement,1187,北美,无匹配类别,无匹配标签,,North America,
Nafta,1188,北美,无匹配类别,无匹配标签,,North America,
Tahoe,1191,北美洲,无匹配类别,无匹配标签,,North America,
Ohio River Valley,1194,北美,无匹配类别,无匹配标签,,North America,
a Silicon Valley,1198,北美,无匹配类别,无匹配标签,,North America,
the Western Hudson Bay,1201,北美,无匹配类别,无匹配标签,,North America,
the Gulf of Alaska,1207,北美,无匹配类别,无匹配标签,,North America,
Kodiak Island,1208,北美,无匹配类别,无匹配标签,,North America,
Michipicoten Island,1211,北美,无匹配类别,无匹配标签,,North America,
Grand Canyon,1212,北美,无匹配类别,无匹配标签,,North America,
Monument Valley,1213,北美洲,无匹配类别,无匹配标签,,North America,
Central and Southeast states,1214,北美,无匹配类别,无匹配标签,,North America,
Houston bay,1215,北美,无匹配类别,无匹配标签,,North America,
the Tropical Eastern Pacific,1216,太平洋,无匹配类别,无匹配标签,,North America,
the Narragansett Bay,1221,北美,无匹配类别,无匹配标签,,North America,
Metreon,1222,无匹配类别,无匹配类别,无匹配标签,,North America,
the Pinaleño Mountains,1225,无匹配类别,无匹配类别,无匹配标签,,North America,
the Amargosa Basin,1226,无匹配类别,无匹配类别,无匹配标签,,North America,
the Rio Abajo,1227,南美,无匹配类别,无匹配标签,,North America,
Valdez,1230,无匹配类别,无匹配类别,无匹配标签,无匹配标签,North America,
the Great Basin of Nevada,1231,北美,无匹配类别,无匹配标签,,North America,
the Powder River Basin,1233,北美,无匹配类别,无匹配标签,,North America,
Turnbull Canyon,1234,无匹配类别,无匹配类别,无匹配标签,,North America,
Southeast Texas,1235,北美,无匹配类别,无匹配标签,,North America,
the Upper Mississippi Atchafalaya River Basin,1239,北美,无匹配类别,无匹配标签,,North America,
Unalaska Island,1242,北美,无匹配类别,无匹配标签,,North America,
Yucca Mountain,1246,北美洲,无匹配类别,无匹配标签,,North America,
the Chena River,1247,无匹配类别,无匹配类别,无匹配标签,,North America,
Beaver Dam,1249,北美,无匹配类别,无匹配标签,,North America,
Liberty Island,1251,北美洲,无匹配类别,无匹配标签,,North America,
the Alsek River,1253,北美,无匹配类别,无匹配标签,,North America,
Slims River,1254,无匹配类别,无匹配类别,无匹配标签,,North America,
the Kaskawulsh Valley,1255,无匹配类别,无匹配类别,无匹配标签,,North America,
the Cumberland River,1257,无匹配类别,无匹配类别,无匹配标签,,North America,
the Emory River,1258,无匹配类别,无匹配类别,无匹配标签,,North America,
Mount Logan,1260,北美,无匹配类别,无匹配标签,,North America,
the California Delta,1262,北美,无匹配类别,无匹配标签,,North America,
Mokelumne River,1263,无匹配类别,无匹配类别,无匹配标签,,North America,
the Calaveras Dam,1264,无匹配类别,无匹配类别,无匹配标签,,North America,
Lake Isabella,1265,北美洲,无匹配类别,无匹配标签,,North America,
Kern River,1266,无匹配类别,无匹配类别,无匹配标签,,North America,
East Village*,1268,无匹配类别,无匹配类别,无匹配标签,,North America,
The East Village,1269,无匹配类别,无匹配类别,无匹配标签,,North America,
the Hudson Valley,1274,北美,无匹配类别,无匹配标签,,North America,
the Hudson River Dam,1277,北美,无匹配类别,无匹配标签,,North America,
the Sonoma Peninsula,1300,无匹配类别,无匹配类别,无匹配标签,,North America,
The San Andreas Fault,1302,北美洲,无匹配类别,无匹配标签,,North America,
the Southeast U,1303,东南亚,无匹配类别,无匹配标签,,North America,
Western Europe,3,欧洲,发达国家,无匹配标签,无匹配标签,Europe,
Mediterranean,4,欧洲,无匹配类别,无匹配标签,无匹配标签,Europe,
Europe,7,欧洲,无匹配类别,Climate Policy Leaders,无匹配标签,Europe,
Mediterranean Basin,38,欧洲,无匹配类别,无匹配标签,无匹配标签,Europe,
the Equatorial Pacific,47,太平洋,无匹配类别,无匹配标签,无匹配标签,Europe,
England,55,欧洲,发达国家,Climate Policy Leaders,England,Europe,
Scandinavia,68,欧洲,无匹配类别,无匹配标签,"""无匹配标签""",Europe,
Bristol England,70,欧洲,发达国家,无匹配标签,England,Europe,
bombastic florid,94,欧洲,无匹配类别,无匹配标签,无匹配标签,Europe,
Central Europe,108,欧洲,无匹配类别,无匹配标签,无匹配标签,Europe,
Southern Europe,110,欧洲,无匹配类别,无匹配标签,无匹配标签,Europe,
Turkeys Ergene River,179,欧洲,发展中国家,无匹配标签,Turkey,Europe,
Eastern Europeor,192,欧洲,无匹配类别,无匹配标签,无匹配标签,Europe,
Similarly Europe,194,欧洲,无匹配类别,Climate Policy Leaders,无匹配标签,Europe,
the Rhone River,248,欧洲,无匹配类别,无匹配标签,Europe,Europe,
the Mediterranean Sea,249,无匹配类别,无匹配类别,无匹配标签,无匹配标签,Europe,
Torrevieja,251,无匹配类别,无匹配类别,无匹配标签,无匹配标签,Europe,
Northern Europe,252,欧洲,无匹配类别,无匹配标签,无匹配标签,Europe,
East London,273,非洲,发展中国家,无匹配标签,England,Europe,
the Finsbury Park,274,欧洲,无匹配类别,无匹配标签,无匹配标签,Europe,
Shetland Creek,283,无匹配类别,无匹配类别,无匹配标签,无匹配标签,Europe,
Siberia,308,亚洲,无匹配类别,无匹配标签,无匹配标签,Europe,
the North Sea,320,欧洲,无匹配类别,无匹配标签,无匹配标签,Europe,
North Sea,321,欧洲,无匹配类别,无匹配标签,无匹配标签,Europe,
the Isle of Wight,322,欧洲,无匹配类别,无匹配标签,无匹配标签,Europe,
Maribo,370,无匹配类别,无匹配类别,无匹配标签,无匹配标签,Europe,
Black Sea,378,欧洲,无匹配类别,无匹配标签,无匹配标签,Europe,
Neuburg,392,欧洲,无匹配类别,无匹配标签,无匹配标签,Europe,
the Ahr Valley,393,无匹配类别,无匹配类别,无匹配标签,无匹配标签,Europe,
the Baar River,394,无匹配类别,无匹配类别,无匹配标签,无匹配标签,Europe,
the Danube River,395,欧洲,无匹配类别,无匹配标签,无匹配标签,Europe,
Ahr Valley,396,无匹配类别,无匹配类别,无匹配标签,无匹配标签,Europe,
the Ahr River,397,欧洲,无匹配类别,无匹配标签,无匹配标签,Europe,
Central and Eastern Europe,398,欧洲,无匹配类别,无匹配标签,无匹配标签,Europe,
North Macedonia,399,欧洲,发展中国家,无匹配标签,无匹配标签,Europe,
Balkans,400,欧洲,无匹配类别,无匹配标签,无匹配标签,Europe,
the Aegean Sea,401,欧洲,无匹配类别,无匹配标签,无匹配标签,Europe,
the Iberian Peninsula,452,欧洲,无匹配类别,无匹配标签,无匹配标签,Europe,
Ruhr Valley,474,欧洲,无匹配类别,无匹配标签,Germany,Europe,
